"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","场景分类","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例","执行方式","合入阶段","执行人","责任人","自动化-是否已实现"
"1653563","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在按键时滚动复选框","","1. 进入设置，焦点在按键时滚动复选框
2. 键盘按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 复选框有Focus效果
2. 取消/选中复选框","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653561","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在输出时滚动复选框","","1. 进入设置，焦点在输出时滚动复选框
2. 键盘按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 复选框有Focus效果
2. 取消/选中复选框","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653559","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在启动时使用下拉框","","1. 进入设置，焦点在启动时使用下拉框
2. 按Enter
3. 按ESC键
4. 按“↑”、“↓“方向键
5. 再按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 下拉框有Focus效果
2. 下拉列表展开
3. 下拉列表收起
4. 可选择窗口模式（正常窗口、分屏、全屏、最大化）
5. 执行选择动作，列表收起","1. 
2. 
3. 
4. 
5.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","5","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653557","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在背景模糊复选框","","1. 进入设置，焦点在背景模糊复选框
2. 键盘按Space/Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 复选框有Focus效果
2. 取消/选中复选框","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653555","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在丢失焦点隐藏雷神窗口复选框","","1. 进入设置，焦点在丢失焦点隐藏雷神窗口复选框
2. 键盘按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 复选框有Focus效果
2. 取消/选中复选框","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653553","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互焦点在设置全局事件","","1. Tab键进入设置，焦点在设置全局事件，键盘按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 设置窗口关闭,焦点回到终端","1.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","1","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653551","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互编码插件打开状态","","1. 进入终端， Alt+M调出右键菜单，选择编码
2. 键盘按Super+Tab
3. 依次按Tab键，将焦点切换到终端
4. 按“↑”、“↓”方向键
5. 选中其中一个编码时，按Enter键
6. 选中其中一个编码时，按Tab键
7. 选中其中一个编码时，按ESC键
（PS：测试时需要测试Shift+Tab反向切换）","1. 编码列表没有Focus效果
2. 焦点切换到“+”按钮
3. 当前选择的编码有Focus效果
4. 可选择编码，编码框有Focus效
5. 选择当前编码
6. 跳转到主窗口的“+”按钮
7. 插件隐藏，焦点跳到终端","1. 
2. 
3. 
4. 
5. 
6. 
7.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","7","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653549","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互右键菜单调出编码","","1. 打开终端， 快捷键Alt+M调出右键菜单中编码插件
2. 检查当前编码显示
（PS：测试时需要测试Shift+Tab反向切换）","1. 编码插件显示
2. 编码框没有Focus效果","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","2","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653547","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互自定义列表为空","","1. 打开终端，Tab键切换到主菜单，按Space/Enter键
2. “↑”、“↓”方向键/Tab键切换自定义命令，
3. 按Enter键
（PS：测试时需要测试Shift+Tab反向切换）","1. 显示主菜单列表
2. 自定义插件打开
3. 焦点切换到添加命令按钮","1. 
2. 
3.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","3","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
"1653545","统信桌面操作系统 V25(#493)","/V25_2500（测试部专用）/B类解耦商店应用/终端/103X/键盘交互(#116109)","","键盘交互有一个自定义命令","","1. 打开终端，键盘按Tab键切换到自定义插件
2. 再次按Tab键
（PS：测试时需要测试Shift+Tab反向切换）","1. 当前自定义命令有Focus效果
2. 切换到添加自定义命令按钮","1. 
2.","SP3、自动化","2","功能测试","","功能测试阶段","正常","0","3","2","通过","熊能","2024-07-19","胡诗敏","2024-08-21","1","","","","游伟","","",""
